Abel Castella;
Abraão Chousa;
Acacio Correia;
Acacio Figueiredo;
Acacio Giménez;
Adelaide Ilha;
Adelina Paraguaçu;
Adelina Perdigón;
Adelina Quadros;
Adelina Ramallo;
Adolfo Assumpção;
Adolfo Pêcego;
Adolfo Regalado;
Adosindo Lemos;
Adriana Cabrera;
Adriano Lobo;
Adélio Borja;
Adélio Lameira;
Adérito Rivas;
Afonso Cambezes;
Agostinho Rebelo;
Agostinho Rosário;
Agostinho Souto;
Aida Moura;
Aires Alcántara;
Alarico Piñero;
Alarico Rebocho;
Alberto Mont'Alverne;
Alberto Valiente;
Alceste Gomide;
Alda Brum;
Aldo Beltrán;
Aldonça Reis;
Aldonça Vicario;
Aleixo Campelo;
Aleixo Sant'Anna;
Alexandra Camilo;
Alexandra Inácio;
Alexandre Sosa;
Alfredo Café;
Alfredo Dourado;
Alice Ilha;
Alicia Açores;
Alicia Vargas;
Aline Acevedo;
Aline Gil;
Almeno Velázquez;
Almerinda Galindo;
Almor Taveira;
Aluísio Lobato;
Alvito Cabrera;
Alzira Freiria;
Alípio Anhaia;
Alípio Anhaia;
Alípio Cortés;
Amadeu Alancastro;
Amadeu Pederneiras;
Amanda Salomão;
Amandio Ferreyra;
Amandio Villaverde;
Amália Amaral;
Amália Pitangui;
Amália Saraíba;
Amélia Feijó;
Amélia Monteiro;
Amélia Oliveira;
Anabela Vasques;
Anacleto Lameira;
Anacleto Lucena;
Andreoleto Lopes;
André Tabalipa;
Angelina Moreira;
Angélica Andrade;
Angélico Carrillo;
Angélico Goulart;
Angélico Herrera;
Angélico Pessoa;
Anhangüera Duarte;
Anhangüera Figueiredo;
Aniano Alcaide;
Anita Paiacã;
Anna Maior;
Anna Thomé;
Anselmo Varão;
Antero Araripe;
Antero Giménez;
Antero Reis;
Antonieta Carrilho;
Antão Bairros;
Antão Maior;
Antão Ramalho;
Antónia Angelim;
António Rebocho;
Antônia Eanes;
Antônia Flores;
Antônio Caneira;
Antônio Mota;
Apoena Bernardes;
Apoena Pinhal;
Apuã Fonseca;
Arachane Barretto;
Arachane Quintas;
Araribóia Brião;
Arcidres Gonçalves;
Arcidres Quinzeiro;
Armanda Castellano;
Arminda Porciúncula;
Artur Cysneiros;
Artur Ramalho;
Artur Talhão;
Asi Águeda;
Astolfo Maia;
Augusto Mata;
Augusto Onofre;
Aurora Quinterno;
Aurélia Freyre;
Aurélia Oliveira;
Balduíno Padilha;
Baltasar Cervera;
Baltasar Cesário;
Barnabé Fragoso;
Barnabé Froes;
Barnabé Loio;
Beatriz Canadas;
Beatriz Furtado;
Beatriz Quaresma;
Beatriz Resende;
Belmifer Fialho;
Belmifer Morais;
Belmira Varejão;
Belmiro Cartaxo;
Benedita Pamplona;
Benedito Cipriano;
Bento Pimentel;
Berengária Gil;
Bernardete Casqueira;
Bernardete Goes;
Bernardina Benevides;
Bernardina Porciúncula;
Bernardina Velázquez;
Bernardo Rocha;
Borrás Malta;
Branco Pires;
Brenda Coimbra;
Brenda Vargas;
Brites Lessa;
Bruna Abrantes;
Bruno Suaçuna;
Brás Camarinho;
Brás Leme;
Brás Peña;
Bráulio Bello;
Bráulio Quintanilha;
Brígida Valle;
Brígida Vigário;
Bukake Ipanema;
Burtira Ataí;
Burtira Sarabia;
Caetano Onofre;
Caio Guzmán;
Caio Prates;
Calisto Medeiros;
Camila Bicudo;
Camilo Cardin;
Capitolina Marins;
Carina Chousa;
Carine Machado;
Carine Palhares;
Carla Fernandes;
Carla Álvares;
Carlos Quintero;
Carlos Rodovalho;
Carlota Camacho;
Carlota Moniz;
Carmem Jorge;
Carmem Pêssego;
Carolina Soeiro;
Casimiro Flores;
Casimiro Freyria;
Cassandra Camargo;
Cassandra Higuera;
Cassandra Nóbrega;
Catarina Caniça;
Catarina Rocha;
Catarina Villégas;
Catarino Castellano;
Catarino Corte-Real;
Caubi Marques;
Caím Peseiro;
Celeste Morales;
Celestino Cartaxo;
Celina Eiró;
Celina Frade;
Celina Rebouças;
Celso Valle;
Cesário Villela;
Cidália Jesús;
Cidália Siebra;
Clara Regueira;
Clarindo Beserra;
Clarindo Foquiço;
Claudemira Ramallo;
Cleusa Bogalho;
Cláudia Butantã;
Cláudia Meneses;
Clóvis Cardoso;
Clóvis Quadros;
